"Domain","Status"
"aegix.com","EXISTS"
"aegix.dev","EXISTS"
"aegix.io","EXISTS"
"aegix.net","EXISTS"
"aegix.org","EXISTS"
"antiky.com","EXISTS"
"antiky.dev","available-signal"
"antiky.io","available-signal"
"antiky.net","available-signal"
"antiky.org","available-signal"
"dharix.com","EXISTS"
"dharix.dev","available-signal"
"dharix.io","available-signal"
"dharix.net","available-signal"
"dharix.org","available-signal"
"etimora.com","available-signal"
"etimora.dev","available-signal"
"etimora.io","available-signal"
"etimora.net","available-signal"
"etimora.org","available-signal"
"etimus.com","EXISTS"
"etimus.dev","available-signal"
"etimus.io","available-signal"
"etimus.net","EXISTS"
"etimus.org","available-signal"
"kriya.com","EXISTS"
"kriya.dev","EXISTS"
"kriya.io","EXISTS"
"kriya.net","EXISTS"
"kriya.org","EXISTS"
"noesis.com","EXISTS"
"noesis.dev","EXISTS"
"noesis.io","EXISTS"
"noesis.net","EXISTS"
"noesis.org","EXISTS"
"origo.com","EXISTS"
"origo.dev","EXISTS"
"origo.io","EXISTS"
"origo.net","EXISTS"
"origo.org","EXISTS"
"seshat.com","EXISTS"
"seshat.dev","EXISTS"
"seshat.io","EXISTS"
"seshat.net","EXISTS"
"seshat.org","EXISTS"
"tabula.com","EXISTS"
"tabula.dev","EXISTS"
"tabula.io","EXISTS"
"tabula.net","EXISTS"
"tabula.org","EXISTS"
"tecuma.com","EXISTS"
"tecuma.dev","available-signal"
"tecuma.io","available-signal"
"tecuma.net","available-signal"
"tecuma.org","available-signal"
"tecumal.com","available-signal"
"tecumal.dev","available-signal"
"tecumal.io","available-signal"
"tecumal.net","available-signal"
"tecumal.org","available-signal"
"tecumas.com","EXISTS"
"tecumas.dev","available-signal"
"tecumas.io","available-signal"
"tecumas.net","available-signal"
"tecumas.org","available-signal"
"telamus.com","available-signal"
"telamus.dev","available-signal"
"telamus.io","available-signal"
"telamus.net","available-signal"
"telamus.org","available-signal"
"tembula.com","available-signal"
"tembula.dev","available-signal"
"tembula.io","available-signal"
"tembula.net","available-signal"
"tembula.org","available-signal"
"temora.com","EXISTS"
"temora.dev","available-signal"
"temora.io","available-signal"
"temora.net","EXISTS"
"temora.org","EXISTS"
"timora.com","EXISTS"
"timora.dev","EXISTS"
"timora.io","available-signal"
"timora.net","EXISTS"
"timora.org","EXISTS"
"timula.com","EXISTS"
"timula.dev","available-signal"
"timula.io","available-signal"
"timula.net","available-signal"
"timula.org","available-signal"
"vayux.com","EXISTS"
"vayux.dev","available-signal"
"vayux.io","available-signal"
"vayux.net","available-signal"
"vayux.org","available-signal"
